
ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF20aabqamf,SN2019ycb,12:18:48.64,+05:44:15.4,850.98,r,17.8749,-18.67,22.422,8.02,14.402,SN Ia,0.046,67.24342006,0.053
ZTF20aabqiav,SN2020ba,15:01:34.89,+23:14:39.7,862.00,g,17.9554,-18.87,32.964,16.466,16.498,SN II,0.05,60.38456436,0.121
ZTF20aabqjht,SN2020bm,14:44:32.60,+35:06:19.4,863.95,g,17.8758,-19.87,26.148,8.555,17.593,SN Ia,0.08,64.61440343,0.026
ZTF20aadfyjl,SN2020hz,05:31:10.51,+01:43:08.9,871.75,r,18.0664,-18.94,35.92,16.907,19.013,SN Ia,0.049,-16.94986954,0.442
ZTF20aacbtgq,SN2020nr,10:22:52.98,+54:03:37.4,867.91,g,17.9777,-19.24,24.956,9.735,15.221,SN Ia,0.0629,51.77587285,0.024
ZTF20aacevxq,SN2020du,01:21:57.46,+50:02:47.9,867.61,r,16.755,-18.49,19.631,9.601,10.03,SN Ia,0.02088,-12.52780377,0.564
ZTF20aaawmxq,SN2020nv,12:17:04.27,+58:35:53.5,861.95,g,18.3657,-19.66,22.879,8.903,13.976,SN Ia,0.09,57.96361233,0.043
ZTF20aadcitq,SN2020es,13:39:14.56,+38:59:46.1,862.98,g,18.3707,-19.38,20.343,5.498,14.845,SN Ia,0.08028,74.50038156,0.023
ZTF20aadyukn,SN2020nu,10:51:54.38,+65:43:07.5,866.86,r,17.9834,-19.14,24.103,9.013,15.09,SN Ia,0.06,47.13570064,0.048
ZTF20aabbvcx,SN2020oz,00:49:56.27,+15:43:29.7,862.61,g,18.4712,-19.38,24.3,9.232,15.068,SN Ia,0.077,-47.14521483,0.184
ZTF20aabcouv,SN2020ap,03:45:22.60,+04:16:13.1,860.68,r,18.0589,-19.19,23.761,10.02,13.741,SN Ia,0.048,-37.58887199,0.783
ZTF20aadxrvb,SN2020rc,11:50:34.07,-04:20:22.7,862.02,r,18.3551,-19.44,54.797,5.369,49.428,SN IIn,0.081,55.26692848,0.064
ZTF20aaelulu,SN2020oi,12:22:54.92,+15:49:25.0,867.98,r,13.8596,-17.94,13.631,7.978,5.653,SN Ic,0.0052,76.89998217,0.072
ZTF20aaeoqqd,SN2020pl,01:04:56.90,+19:27:48.6,862.61,g,18.1066,-18.70,22.605,7.543,15.062,SN II,0.05,-43.29328665,0.106
ZTF20aaertpj,AT2020pv,14:27:52.04,+33:34:09.6,873.06,r,18.4695,-17.02,22.666,14.065,8.601,SN Ib,0.02875,68.2812725,0.027
ZTF20aaerxsd,SN2020py,14:00:54.26,+45:28:21.5,872.95,g,17.8358,-19.01,22.641,11.002,11.639,SN Ia,0.0533,67.0333668,0.022
ZTF20aacbgvj,SN2019xuj,08:25:42.94,-17:13:15.4,859.84,r,18.4198,-19.35,41.564,20.702,20.862,SN Ia,0.076,11.82477165,0.201
ZTF20aadtarr,SN2020sj,09:26:19.87,-07:28:30.0,888.76,g,17.855,-19.91,99.122,27.238,71.884,SN IIn,0.077,29.51743903,0.109
ZTF20aaeopvv,SN2020pb,01:09:22.62,+21:43:26.7,864.65,g,17.9281,-19.34,19.095,6.06,13.035,SN Ia,0.06,-40.95521522,0.156
ZTF20aaesewy,SN2020se,03:37:48.71,+03:16:19.6,873.70,r,17.036,-19.01,25.035,11.094,13.941,SN Ia,0.03178,-39.67905073,0.424
ZTF18aaizerg,SN2019zbj,14:38:47.57,+50:06:09.8,857.07,r,18.3945,-19.04,24.507,14.803,9.704,SN Ia,0.0685,59.22561677,0.073
ZTF19adalarj,SN2020cn,21:28:10.73,+79:06:36.3,863.62,g,18.3822,-19.96,>26.477,16.477,>10,SN IIn,0.077,19.97074652,0.587
ZTF20aaetvkh,SN2020ti,05:03:24.63,+05:24:12.0,867.70,g,18.2409,-19.09,23.616,11.225,12.391,SN Ia,0.061,-21.06374158,0.178
ZTF20aaevbvv,SN2020tn,07:03:22.72,+33:00:49.8,867.71,g,17.8775,-19.50,26.511,7.463,19.048,SN Ia,0.06,16.69672648,0.247
ZTF20aacdfep,SN2020dd,16:44:52.50,+42:58:56.1,862.01,g,18.4344,-18.64,>15.93,>9.96,5.97,SN Ia,0.05847,40.72518732,0.037
ZTF20aaetrle,SN2020sy,04:01:07.17,+31:48:46.5,873.68,r,17.9501,-17.35,24.57,10.604,13.966,SN II,0.02,-15.74421298,0.745
ZTF20aaeuxqk,SN2020ut,14:00:52.63,+81:50:47.6,872.03,r,17.3622,-18.64,18.449,8.287,10.162,SN Ia,0.035,34.87931946,0.128
ZTF20aafckit,SN2020uu,15:55:45.37,+29:45:28.8,877.06,r,17.8809,-17.83,38.871,16.878,21.993,SN II,0.031,49.66400782,0.093
ZTF20aaekkuv,SN2020oc,09:48:02.92,+03:32:17.7,866.84,r,18.3735,-16.40,25.042,10.916,14.126,SN Ic,0.02,40.3084004,0.112
ZTF20aafciit,SN2020wv,13:21:11.15,+53:23:31.5,872.93,g,18.2589,-19.51,24.397,9.793,14.604,SN Ia,0.08,63.16407343,0.045
ZTF20aafcjln,SN2020vf,12:11:37.00,+00:19:20.2,873.90,g,15.5333,-19.26,23.913,4.68,19.233,SN Ia,0.0203,61.53852658,0.072
ZTF20aafclxb,SN2020vg,11:48:54.43,-04:40:53.8,874.01,r,16.8504,-16.07,43.885,13.277,30.608,SN II,0.0087,54.78454068,0.067
ZTF20aafjjqj,SN2020zz,08:34:39.82,+38:21:45.9,872.79,r,17.1273,-19.16,21.452,6.461,14.991,SN Ia,0.04,35.92974775,0.107
ZTF20aafrjqw,SN2020abu,10:30:49.21,+19:43:31.7,871.99,r,18.3392,-19.66,27.849,10.403,17.446,SN Ia,0.08822,57.01994731,0.074
ZTF20aafsnpp,SN2020zi,13:37:20.85,+61:59:09.6,877.05,r,18.1939,-18.27,23.251,8.756,14.495,SN Ia,0.0445,54.3130237,0.042
ZTF17aadlxmv,SN2020adv,08:29:47.59,+33:54:22.8,879.69,g,17.9475,-19.34,25.146,10.951,14.195,SN Ia,0.062,34.17470168,0.106
ZTF20aaezaxk,SN2020zn,01:43:28.88,+22:12:03.2,871.66,g,18.4214,-19.34,28.041,8.083,19.958,SN Ia,0.07,-39.09118457,0.278
ZTF20aafcnem,SN2020aek,16:24:08.47,+81:06:51.2,882.05,r,17.5191,-18.77,22.918,13.833,9.085,SN Ia,0.04,32.20225941,0.11
ZTF20aaffgwg,SN2020zr,07:22:58.79,+53:59:49.5,873.69,r,18.4912,-17.87,26.229,8.215,18.014,SN Ia,0.03981,26.14605521,0.215
ZTF20aafrihv,SN2020ady,09:43:56.71,+49:52:14.1,879.73,g,17.6484,-19.63,25.926,10.837,15.089,SN Ia,0.064,47.79719752,0.046
ZTF20aafvzhu,SN2020aar,02:09:37.27,+15:17:45.0,877.62,r,17.4552,-19.41,24.06,10.063,13.997,SN Ia,0.05,-43.52735614,0.224
ZTF20aagfjlj,SN2020aai,10:11:57.90,-01:57:06.1,873.86,g,17.5508,-19.04,19.667,7.88,11.787,SN Ia,0.045,41.84811507,0.118
ZTF20aaghlkv,SN2020ags,12:57:04.95,+29:05:19.4,881.96,g,15.6365,-19.08,23.395,8.797,14.598,SN Ia,0.02,87.67792307,0.033
ZTF20aagjpmt,SN2020aer,04:48:35.42,-04:49:19.7,880.68,r,17.7072,-16.43,>52.622,15.622,>37,SN II,0.015,-29.42329944,0.098
ZTF20aagvvnr,SN2020agm,10:49:57.09,+13:56:39.2,876.84,r,18.2652,-19.23,17.621,7.55,10.071,SN Ia,0.07,58.77123231,0.088
ZTF20aaeujsk,SN2020aqo,08:41:57.51,-17:54:45.1,872.75,g,18.3104,-19.29,25.485,14.259,11.226,SN Ia,0.067,14.62497092,0.231
ZTF20aafclqz,SN2020vi,16:27:49.68,+38:23:31.8,862.02,g,18.0567,-17.79,25.639,3.266,22.373,SN II,0.0335,43.8074282,0.031
ZTF20aaghnxd,SN2020alf,12:47:10.36,+29:34:33.4,878.99,g,17.9138,-19.56,23.442,8.301,15.141,SN Ia,0.07,87.37872462,0.038
ZTF20aaghoqz,SN2020aqj,15:13:48.42,+08:19:52.4,873.07,r,18.4451,-19.23,30.518,10.755,19.763,SN Ia,0.0761,51.45810596,0.084
ZTF20aaghpdc,SN2020aan,17:12:49.00,+79:03:41.5,882.05,r,18.3113,-19.68,25.991,14.991,11,SN Ia,0.086,31.20837298,0.134
ZTF20aaglivt,SN2020afb,08:56:18.85,+11:59:13.9,883.90,g,18.2962,-19.14,25.371,11.186,14.185,SN Ia,0.06665,33.08880042,0.1
ZTF20aahbamv,SN2020amv,08:49:40.67,+30:11:14.5,879.76,g,17.3342,-19.25,30.501,6.525,23.976,SN II,0.0452,37.50293135,0.1
ZTF20aahdwze,SN2020amx,09:54:16.96,+51:40:52.5,883.93,g,17.2234,-19.44,24.231,8.308,15.923,SN Ia,0.049,48.83054599,0.024
ZTF20aahfobk,SN2020aoi,12:05:34.79,+61:55:24.7,887.74,g,16.6236,-19.22,22.634,9.56,13.074,SN Ia,0.033,54.37433533,0.059
ZTF20aafmdzj,SN2020zg,04:02:36.39,-16:11:54.4,875.70,r,17.8548,-19.14,21.718,13.194,8.524,SN Ic-BL,0.0557,-44.5379419,0.087
ZTF20aahpwym,SN2020asq,16:21:46.28,+50:43:40.0,882.02,g,17.6231,-19.33,26.737,9.713,17.024,SN Ia,0.055,44.05163322,0.054
ZTF20aahpxzz,SN2020asa,14:23:32.01,+17:26:58.4,882.01,g,17.5164,-19.36,23.417,8.947,14.47,SN Ia,0.0528,66.65473003,0.06
ZTF20aahqbun,SN2020alg,14:27:10.54,+35:55:20.2,876.03,r,18.3328,-17.11,31.621,8.747,22.874,SN II,0.028,67.8606711,0.036
ZTF20aagloch,SN2020ago,09:28:39.48,+55:10:35.6,877.82,r,18.2658,-18.39,13.834,7.725,6.109,SN Ia,0.0483,44.12779999,0.056
ZTF20aahaxjl,SN2020amt,07:34:43.70,+18:02:32.9,881.77,r,18.2211,-18.32,18.163,8.286,9.877,SN Ia,0.045,17.46507672,0.105
ZTF20aahkgcz,SN2020axk,09:36:31.53,+59:24:16.3,890.77,g,17.1894,-19.13,24.227,11.23,12.997,SN Ia,0.04113,43.73348432,0.055
ZTF20aaifsri,SN2020akj,14:09:20.17,-12:28:06.9,874.05,g,18.152,-19.47,33.587,11.65,21.937,SN Ia,0.07,46.12324709,0.165
ZTF20aaiftgi,SN2020aut,14:10:13.35,-06:49:20.7,886.02,r,18.0983,-17.80,24.822,14.808,10.014,SN Ic,0.03370,51.06110588,0.1
ZTF20aahjymt,SN2020bbi,08:32:38.53,-04:17:09.6,884.71,r,18.4309,-19.08,25.089,12.477,12.612,SN Ia,0.07,20.19498516,0.102
ZTF20aahmvfw,SN2020bdq,08:21:53.25,-23:28:57.3,892.75,r,17.957,-18.50,29.773,16.695,13.078,SN Ia,0.04,7.5944509,0.321
ZTF20aahqbib,SN2020ase,15:00:55.77,+08:34:48.7,884.96,g,17.8519,-19.16,24.409,9.785,14.624,SN Ia,0.0555,54.2216693,0.087
ZTF20aaiqiti,SN2020ayz,12:12:04.89,+32:44:01.7,887.03,r,18.4812,-16.72,20.498,12.808,7.69,SN Ic-BL,0.025,79.80351906,0.038
ZTF20aajcdad,SN2020bcq,13:26:29.65,+36:00:31.1,888.02,r,17.0858,-17.40,16.496,7.715,8.781,SN Ib,0.018,78.40917121,0.043
ZTF20aaiawlj,SN2020avg,11:34:06.13,-09:01:18.3,885.98,r,17.2999,-18.78,27.328,12.966,14.362,SN Ia,0.0367,49.27979199,0.095
ZTF20aaieyup,SN2020aqe,11:43:29.76,-16:47:53.1,885.98,r,16.8487,-16.85,22.849,10.158,12.691,SN II,0.01225,43.08367586,0.111
ZTF20aaieyuw,SN2020agu,11:58:31.59,-20:41:53.7,892.81,r,17.2762,-18.00,79.107,24.603,54.504,SN II,0.025,40.48796806,0.129
ZTF20aaifyrs,SN2020awa,17:01:32.67,+27:56:33.9,886.04,r,16.9588,-19.03,23.728,12.786,10.942,SN Ia,0.03386,35.19680981,0.189
ZTF20aaifyvz,SN2020bev,16:46:59.96,+15:35:06.9,886.05,r,18.3622,-18.87,24.617,11.622,12.995,SN Ia,0.06,34.43284849,0.173
ZTF20aajbsxt,SN2020bua,10:12:29.98,+41:46:41.7,890.94,r,18.3364,-19.12,21.878,9.07,12.808,SN Ia,0.07,54.50702899,0.042
ZTF19abeizmo,SN2020adw,10:53:24.69,+75:56:20.3,874.76,r,18.1202,-19.28,24.795,7.51,17.285,SN Ia,0.065,39.08759205,0.164
ZTF20aaivjce,SN2020bdf,02:55:47.83,+15:06:01.2,884.65,r,17.8628,-18.29,16.166,9.889,6.277,SN Ia,0.035,-38.10057267,0.304
ZTF20aairvsi,SN2020bja,07:13:48.94,+35:50:11.0,890.81,g,18.2233,-19.40,24.689,11.535,13.154,SN Ia,0.07,19.71275012,0.164
ZTF20aakzbfh,SN2020beu,16:39:04.74,+08:21:30.9,1000.83,r,17.6796,-18.71,18.108,9.182,8.926,SN II,0.041,33.16232688,0.169
ZTF20aahbfmf,SN2020ank,08:16:14.65,+04:19:26.8,894.71,g,18.4279,-21.89,49.748,17.299,32.449,SLSN-I,0.2485,20.81360464,0.062
ZTF20aakfofq,SN2020bol,07:38:39.72,+28:39:10.3,891.75,g,18.4121,-19.45,23.216,10.536,12.68,SN Ia,0.08,22.23701916,0.12
ZTF20aakyoez,SN2020bpi,13:23:29.03,+62:26:46.3,895.96,r,17.5934,-18.70,22.163,9.959,12.204,SN Ia,0.041,54.28587213,0.057
ZTF20aalcyih,SN2020bpf,06:55:23.49,+27:43:19.0,898.66,r,17.9137,-17.61,>29.496,12.506,>16.99,SN Ib,0.02723,13.04449757,0.203
ZTF18aaaibml,SN2020buc,10:08:31.27,+09:14:23.0,909.80,r,18.2606,-17.70,69.73,27.302,42.428,SN II,0.0348,47.6378023,0.092
ZTF18aadzfso,SN2020biz,07:07:17.67,+43:18:59.1,892.78,r,18.4235,-18.49,24.772,13.835,10.937,SN Ia,0.05,20.95187636,0.279
ZTF18adcdcrd,SN2020boc,06:58:26.03,+14:39:47.6,893.71,g,18.1522,-18.86,23.644,8.98,14.664,SN Ia,0.04987,8.14663672,0.281
ZTF20aakodiq,SN2020bln,15:04:40.09,+35:56:59.9,894.00,g,17.3868,-19.16,25.927,9.09,16.837,SN Ia-91T,0.04594,60.43807465,0.038
ZTF20aalejtl,SN2020bqr,07:56:02.83,+33:47:13.7,895.67,g,18.0975,-19.27,26.235,11.303,14.932,SN Ia,0.0629,27.34517842,0.152
ZTF20aalmeaj,SN2020bqt,07:49:07.00,+12:05:28.3,896.77,r,18.4076,-18.18,22.146,12.27,9.876,SN Ia,0.04665,18.193417,0.072
ZTF20aalrqbu,SN2020bqj,15:33:40.48,+34:28:44.2,891.05,g,17.983,-19.45,66.671,10.129,56.542,SN Ibn,0.068,54.63808647,0.062
ZTF20aajvcwd,SN2020boo,12:24:41.83,-03:21:13.0,886.96,g,18.203,-19.22,17.304,7.941,9.363,SN Ia,0.0664,58.84244519,0.096
ZTF20aalxlis,SN2020bvc,14:33:57.01,+40:14:37.6,899.01,r,16.4356,-18.78,23.38,12.658,10.722,SN Ic-BL,0.02523,65.10539069,0.034
ZTF20aalrptc,SN2020bqz,15:39:03.56,+31:11:54.3,894.00,g,18.0726,-18.86,22.019,8.996,13.023,SN Ia,0.054,53.39656119,0.066
ZTF20aajjxwc,SN2020btv,08:41:12.75,+68:42:25.3,898.83,r,17.9399,-18.33,30.736,16.845,13.891,SN Ia,0.04,35.01613937,0.097
ZTF20aalrksw,SN2020bxp,14:48:28.92,-05:18:15.0,896.04,g,16.741,-19.04,27.406,7.474,19.932,SN Ia,0.03,46.9661078,0.179
ZTF20aamaqak,SN2020bzb,11:23:30.08,+29:13:47.2,894.82,g,18.2774,-19.28,22.228,8.011,14.217,SN Ia,0.0726,70.5364851,0.044
ZTF20aamdhut,SN2020bpz,11:40:58.56,-11:26:57.4,895.92,r,17.2279,-19.03,25.136,10.716,14.42,SN Ia,0.04,47.80490733,0.082
ZTF20aambbfn,SN2020bzv,10:33:29.90,+49:19:02.1,894.78,r,18.3019,-18.11,18.112,7.976,10.136,SN Ia,0.0439,55.48685349,0.022
ZTF18aaybfsd,SN2020cbf,15:22:51.93,+38:26:58.4,904.01,r,17.0545,-19.18,24.045,13.104,10.941,SN Ia,0.04,56.4969718,0.045
ZTF20aaljgcp,SN2020buv,14:15:58.45,+68:17:51.4,891.01,g,18.48,-19.30,18.612,6.093,12.519,SN Ia,0.08,46.93950962,0.053
ZTF20aamgdkb,SN2020cdi,11:38:39.35,+67:35:22.7,898.78,g,18.3534,-19.25,>27.947,10.857,>17.09,SN Ia,0.075,48.06294257,0.025
ZTF20aamcvyp,SN2020bxd,09:16:07.54,-08:58:07.8,888.76,g,18.3781,-18.83,>15.215,5.195,>10.02,SN Ia,0.06,26.6006934,0.104
ZTF20aammbrw,SN2020cdp,11:09:48.68,+00:48:15.6,895.88,g,18.0682,-19.25,21.537,6.045,15.492,SN Ia,0.06297,54.11885645,0.109
ZTF20aammhli,SN2020cdj,17:56:11.72,+62:45:25.4,904.01,r,17.1571,-16.98,19.292,11.283,8.009,SN Ia,0.015,30.17600887,0.109
ZTF20aammicx,SN2020byb,17:26:01.34,+34:37:38.6,895.03,r,18.1965,-19.61,20.421,8.327,12.094,SN Ia,0.08,31.72035556,0.104
ZTF20aammtwx,SN2020cgu,07:27:48.25,+20:24:05.4,899.73,r,17.8292,-17.65,20.782,10.819,9.963,SN Ic,0.02718,16.90366293,0.16
ZTF20aamamnp,SN2020chy,08:58:28.87,+00:52:28.5,912.71,r,18.1898,-18.59,>30.957,27.957,>3,SN II,0.05,28.3836343,0.117
ZTF20aamdsjv,SN2020cfb,12:33:51.96,+31:18:35.3,899.89,g,17.8915,-19.28,21.73,8.789,12.941,SN Ia,0.0609,84.32817404,0.043
ZTF20aamsjws,SN2020cho,10:43:50.73,+18:39:30.2,904.73,r,17.4381,-18.21,24.943,11.232,13.711,SN Ia,0.03023,59.5147708,0.08
ZTF18aaaqexr,SN2020chl,11:43:06.37,+15:34:01.7,891.92,g,18.4475,-19.10,17.228,5.46,11.768,SN Ia,0.0702,70.3707198,0.101
ZTF20aamkyyx,SN2020ckd,12:36:36.60,+08:35:15.3,898.92,g,17.993,-18.74,16.499,7.609,8.89,SN Ia,0.0497,71.13032121,0.057
ZTF20aamrreb,SN2020cke,08:47:17.92,-20:31:39.3,905.73,r,18.3491,-17.06,>29.179,21.179,>8,SN IIn,0.023,14.10736522,0.508
ZTF20aamxuwl,SN2020ckv,11:03:26.48,-01:32:27.0,904.75,r,18.255,-17.88,62.541,11.93,50.611,SN II,0.037,51.30113985,0.135
ZTF19aaklqod,SN2020ctr,08:58:37.61,+20:11:30.6,903.80,g,16.8355,-18.82,>15.702,6.752,>8.95,SN Ia,0.03,36.69217307,0.08
ZTF20aamnvij,SN2020chi,09:38:05.60,+24:00:41.4,903.80,g,18.1275,-19.37,26.368,10.91,15.458,SN Ia,0.07,46.55045797,0.061
ZTF20aamqslk,SN2020chn,11:21:14.54,+38:46:19.5,899.87,g,18.4868,-19.49,24.767,8.938,15.829,SN Ia,0.0864,67.87693104,0.073
ZTF20aamifit,SN2020cue,18:22:49.61,+47:49:55.1,895.03,r,17.5081,-19.67,30.574,10.322,20.252,SN Ia,0.06,24.35323749,0.109
ZTF20aamttiw,SN2020cpa,17:26:37.72,+38:12:29.4,891.97,g,17.7607,-18.85,9.341,2.259,7.082,SN II,0.0449,32.34098675,0.133
ZTF20aamttmo,SN2020cpb,17:08:19.09,+18:17:58.4,905.05,g,17.8273,-19.10,23.272,11.111,12.161,SN Ia,0.05,30.7083004,0.203
ZTF20aamttni,SN2020cli,16:31:56.69,+14:02:39.1,905.02,r,17.9103,-19.04,25.443,11.717,13.726,SN Ia,0.05351,37.17891167,0.145
ZTF20aanaibf,SN2020cxe,20:09:38.75,+62:33:30.8,904.01,r,17.6364,-19.62,>20.971,10.961,>10.01,SN Ia,0.053,15.51084764,0.539
ZTF20aamwfea,SN2020ckp,08:36:21.24,-25:31:58.5,892.75,r,17.0059,-18.83,16.678,4.085,12.593,SN Ia,0.03,9.11304847,0.331
ZTF20aaodkvl,SN2020csx,16:41:41.06,+68:30:55.8,906.03,g,16.4166,-18.94,18.408,7.576,10.832,SN Ia,0.026,36.80864302,0.089
ZTF20aaoldej,SN2020dcx,12:50:56.25,+40:11:12.2,904.97,r,18.337,-16.93,30.462,7.408,23.054,SN II,0.02578,76.94125814,0.045
ZTF20aanvpzo,SN2020cpt,14:57:30.24,+08:23:24.0,904.02,g,17.2339,-18.91,24.565,9.253,15.312,SN Ia,0.03705,54.79737709,0.099
ZTF20aanvqbi,SN2020cpu,14:54:31.03,+09:42:25.7,911.98,r,18.0435,-17.78,39.248,14.265,24.983,SN II,0.03276,56.16454184,0.08
ZTF20aanyxvu,SN2020cvn,07:13:37.19,+42:46:52.2,912.68,r,17.6943,-18.66,34.981,10.093,24.888,SN Ia,0.04,21.8901782,0.198
ZTF20aaoojli,SN2020cvw,07:57:55.90,+30:01:37.0,912.67,g,17.7603,-19.14,28.961,10.132,18.829,SN Ia,0.05106,26.65498211,0.14
ZTF20aaophpu,SN2020cvy,08:00:49.27,+27:29:54.8,900.69,r,18.4069,-16.01,64.055,2.81,61.245,SN II,0.017,26.48114866,0.112
ZTF20aapadwx,SN2020ddr,14:24:47.38,+26:17:15.6,911.93,g,17.1002,-19.01,22.854,9.586,13.268,SN Ia,0.0375,69.1648984,0.045
ZTF20aapchqy,SN2020cxd,17:26:29.26,+71:05:38.6,999.83,r,17.099,-14.10,123.937,101.073,22.864,SN II,0.00388,32.40124141,0.11
ZTF20aaosoct,SN2020dcp,09:53:45.42,-04:59:31.7,912.75,g,18.0469,-19.13,23.519,9.211,14.308,SN Ia-91T,0.059,36.41013581,0.107
ZTF20aaowuim,SN2020czo,11:01:11.30,+12:28:29.2,912.92,r,16.3566,-18.99,33.326,8.682,24.644,SN Ia,0.0267,60.32539122,0.045
ZTF20aappgod,SN2020cyp,16:10:49.26,+01:37:29.8,905.05,g,18.391,-19.52,37.951,7.504,30.447,SN Ia,0.076,35.91660103,0.257
ZTF20aapycrh,SN2020dbg,10:56:58.85,+43:04:36.6,906.80,g,18.4953,-15.58,58.545,5.971,52.574,SN II,0.015,61.8980411,0.024
ZTF20aapcbmc,SN2020dgd,15:45:35.54,+29:18:38.4,912.02,r,18.1211,-17.50,26.049,12.411,13.638,SN Ic-BL,0.03,51.7939053,0.071
ZTF20aapcmur,SN2020ddo,15:41:07.30,+22:07:45.0,912.00,r,17.5145,-18.91,24.847,9.468,15.379,SN Ia,0.04218,51.29429688,0.133
ZTF20aarbktd,SN2020djn,17:04:23.30,+28:27:46.5,909.01,r,17.9605,-17.87,26.282,6.047,20.235,SN II,0.03129,34.7245583,0.211
ZTF19acmbhvv,SN2019aaby,07:14:48.58,+53:43:05.2,912.64,g,18.0169,-19.49,33.548,6.959,26.589,SN Ia,0.06240,24.90987597,0.278
ZTF20aasiwcu,SN2020dvs,19:09:20.48,+50:16:12.9,913.03,g,17.6689,-19.44,20.795,5.743,15.052,SN Ia,0.055,17.83592646,0.181
ZTF20aattqle,SN2020eoe,16:18:02.66,+18:02:31.8,953.94,r,17.914,-18.65,44.365,22.209,22.156,SN II,0.04543,41.779079,0.11
ZTF20aattyuz,SN2020exj,14:42:40.01,+30:14:39.0,944.97,g,18.4452,-20.44,35.617,13.262,22.355,SLSN-I,0.133,65.46904195,0.031
ZTF20aatulug,SN2020fhk,16:20:05.75,+61:47:24.9,945.00,g,18.3341,-19.90,35.18,17.322,17.858,SN Ia,0.097,41.29079911,0.07
ZTF20aatzhhl,SN2020fqv,12:36:33.25,+11:13:53.9,962.77,r,15.5188,-17.10,50.511,22.21,28.301,SN IIb,0.00752,73.72284949,0.089
ZTF20aatzwgk,SN2020fhs,16:01:06.28,+19:27:00.6,953.94,r,15.9206,-18.12,22.193,8.742,13.451,SN Ia,0.01438,46.02889679,0.099
ZTF20aauombk,SN2020fwn,14:55:54.32,+17:36:23.1,955.90,g,16.8719,-19.38,22.182,7.813,14.369,SN Ia,0.0389,59.78753934,0.095
ZTF20aauooag,SN2020fxm,18:59:49.91,+33:38:52.3,953.93,g,17.5923,-20.21,20.657,6.635,14.022,SN Ia,0.075,13.03390382,0.187
ZTF20aauowam,SN2020fxa,15:34:33.03,+37:32:01.7,956.87,g,17.7701,-19.51,22.049,5.968,16.081,SN Ia,0.064,54.31431607,0.044
ZTF20aaumsrr,SN2020ftl,12:20:03.77,+05:20:35.9,955.80,g,14.2213,-18.32,14.263,3.026,11.237,SN Ia,0.0073,66.96887098,0.052
ZTF20aauqhka,SN2020gac,12:29:46.22,+42:43:58.1,955.81,g,17.7883,-18.41,51.534,6.705,44.829,SN II,0.03867,73.78544008,0.063
ZTF20aauqoim,SN2020gar,13:57:59.16,-12:37:13.2,956.86,g,18.3316,-19.37,25.648,13.73,11.918,SN Ia,0.07,47.09646502,0.234
ZTF18aakiwbs,SN2020fqi,15:17:36.65,+57:11:05.9,953.94,r,18.2404,-19.08,23.154,14.254,8.9,SN Ia,0.066,50.41794806,0.035
ZTF18aaoxrup,SN2020hdw,16:00:51.98,+56:21:09.0,956.88,g,17.2746,-19.85,14.586,5.558,9.028,SN Ia,0.06,45.5325148,0.035
ZTF20aauonld,SN2020hdx,16:57:14.90,+14:40:49.7,956.98,r,17.7747,-19.22,18.685,7.304,11.381,SN Ia,0.053,31.80217083,0.215
ZTF20aaurhio,SN2020gkp,17:00:32.63,+36:37:34.4,956.89,g,18.2457,-19.52,24.939,5.947,18.992,SN Ia,0.08,37.17953909,0.042
ZTF20aaurknv,SN2020hms,16:40:47.91,+32:14:17.7,956.89,g,18.1199,-18.96,21.683,1.658,20.025,SN Ia,0.05728,40.50263116,0.077
ZTF18aajivpr,SN2020gaa,11:56:46.90,+52:29:01.9,956.79,r,18.2865,-18.51,22.584,10.642,11.942,SN Ia,0.0515,62.66397945,0.061
ZTF20aaurexl,SN2020hes,17:47:05.71,+42:46:39.7,964.93,r,18.2999,-19.21,23.19,14.197,8.993,SN Ic-BL,0.07,29.38555403,0.106
ZTF20aaurfhs,SN2020hgo,17:01:22.49,+20:18:58.4,961.96,r,18.1076,-17.96,28.574,9.681,18.893,SN II,0.0352,32.95004691,0.186
ZTF20aaurfwa,SN2020hem,15:02:40.15,+09:18:13.8,1001.76,r,17.4332,-20.70,87.595,39.651,47.944,SN IIn,0.0935,54.28269028,0.086
ZTF20aaurgib,SN2020gpe,16:39:32.31,+66:02:15.8,954.91,g,16.9141,-18.37,25.197,3.144,22.053,SN II,0.02541,37.83694774,0.066
ZTF20aaurjbj,SN2020hgw,14:18:19.12,+38:55:46.2,964.85,g,17.559,-18.83,32.442,12.139,20.303,SN II,0.043,68.38954108,0.034
ZTF20aaurucm,SN2020gct,08:38:34.12,+33:49:52.0,962.68,r,18.1905,-19.88,25.332,13.957,11.375,SN Ia,0.09,35.94453023,0.113
ZTF20aaurzce,SN2020hla,08:35:12.23,+60:50:09.2,972.74,g,16.3478,-19.21,24.4,10.311,14.089,SN Ia,0.02744,36.00829438,0.161
ZTF20aautscv,SN2020hfx,11:03:36.99,+21:59:05.6,964.70,g,17.9732,-19.15,23.205,12.521,10.684,SN Ia,0.0592,65.00120005,0.053
ZTF20aautzif,SN2020hek,12:28:00.19,+41:07:12.8,965.74,g,16.6556,-19.48,24.821,8.223,16.598,SN Ia,0.03789,75.20111727,0.051
